id,date_added,company,position,source,city,salary_range,jd_file,match_grade,status,last_action,next_step,notes
J-20250717-001,2025-07-17,溪云信息,前端工程师,boss,杭州,22-30K,,⭐⭐,已收藏,2025-07-17 新抓取入库,待初筛,今日新增
J-20250717-002,2025-07-17,松果出行,产品经理（出行业务）,liepin,成都,25-35K,,⭐,已收藏,2025-07-17 新抓取入库,待初筛（城市待确认）,成都纳入与否见待定决策
J-20250717-003,2025-07-17,白泽安全,安全产品经理,官网,北京,32-45K,白泽安全-安全产品经理.md,⭐⭐,待投递,2025-07-17 初筛通过,待用户确认投递,今日新增并过筛
J-20250716-001,2025-07-16,蜂鸟互动,产品经理（工具方向）,boss,杭州,26-38K,蜂鸟互动-产品经理（工具方向）.md,⭐⭐⭐,待投递,2025-07-16 初筛通过,待用户确认投递（建议先定制简历）,命脉卖点强对口
J-20250716-002,2025-07-16,拾光科技,前端开发工程师,boss,上海,24-32K·13薪,,⭐⭐,待投递,2025-07-16 初筛通过,待用户确认投递,JD 标注大小周 需拍板
J-20250715-001,2025-07-15,光年之外,全栈工程师,官网,远程,20-32K,,⭐⭐,已投递,2025-07-15 官网投递（用户手动）,等 HR 查看 一周无动静跟进,远程岗
J-20250715-002,2025-07-15,雾屿网络,数据分析师,liepin,深圳,22-30K,,⭐,已投递,2025-07-15 投递（用户确认后手动投）,等回复,规模较小 观望
J-20250714-001,2025-07-14,青柠互动,增长产品经理,boss,北京,28-40K·15薪,,⭐⭐,被查看,2025-07-16 简历被查看,三天无消息则跟进（07-19）,JD 强调 AARRR
J-20250714-002,2025-07-14,叠浪信息,前端工程师,内推,上海,25-35K,,⭐⭐⭐,沟通中,2025-07-16 HR 加微信 聊薪资期望,本周内约初面时间,内推人 前同事阿豪
J-20250712-001,2025-07-12,海鹚智能,AI 产品经理,猎头,北京,35-50K,,⭐⭐⭐,沟通中,2025-07-15 猎头电话沟通 20 分钟,补作品集链接发给猎头,猎头主动联系
J-20250710-001,2025-07-10,鸣沙数据,高级产品经理（数据方向）,boss,杭州,30-45K·14薪,鸣沙数据-高级产品经理（数据方向）.md,⭐⭐⭐,面试中,2025-07-16 完成二面 聊了 70 分钟,等三面通知 准备业务案例,二面反馈不错
J-20250708-001,2025-07-08,沸点网络,产品经理（商业化）,内推,北京,30-45K·16薪,沸点网络-产品经理（商业化）.md,⭐⭐⭐,面试中,2025-07-15 一面通过,二面 07-19 14:00 准备商业化案例,面试官是商业化负责人
J-20250628-001,2025-06-28,禾木科技,产品经理,boss,杭州,28-38K·14薪,,⭐⭐⭐,offer,2025-07-14 收到 offer 邮件,07-21 前答复是否接受,base 符合 股票一般 见待定决策
J-20250709-001,2025-07-09,山丘互娱,游戏策划（系统方向）,boss,广州,20-28K,,⭐⭐,对方已拒,2025-07-11 收到拒信,已归档,反馈 经验方向不匹配
J-20250711-001,2025-07-11,墨砚科技,产品运营,lagou,杭州,18-25K,,⭐,已放弃,2025-07-12 用户标记放弃,—,薪资低于底线
J-20250706-001,2025-07-06,蓝湖数据,数据产品经理,linkedin,上海,30-42K,,⭐⭐,已结束,2025-07-09 职位关闭,已归档,猎头告知 headcount 冻结
